Unnamed: 0,model,structure,accuracy,min,max,se
0,Llama-3.1-Nemotron-70B-Instruct-HF,confounder,94.44444444444444,83.33333333333334,100.0,3.1464006330825205
1,Llama-3.1-Nemotron-70B-Instruct-HF,direct,100.0,100.0,100.0,0.0
2,Llama-3.1-Nemotron-70B-Instruct-HF,mediation,95.83333333333334,83.33333333333334,100.0,4.16666666666666
3,gemini-2.0-flash,confounder,81.48148148148148,50.0,100.0,5.33573980959359
4,gemini-2.0-flash,direct,66.66666666666666,0.0,100.0,21.081851067789202
5,gemini-2.0-flash,mediation,79.16666666666666,50.0,100.0,8.46811296559438
6,hf-deepseek-distill-qwen-14,confounder,77.77777777777779,66.66666666666666,91.66666666666666,5.71062409722274
7,hf-deepseek-distill-qwen-14,direct,100.0,100.0,100.0,0.0
8,hf-deepseek-distill-qwen-14,mediation,75.0,50.0,100.0,9.02893898143269
9,hf-deepseek-distill-qwen-32-large,confounder,94.44444444444444,83.33333333333334,100.0,3.1464006330825205
10,hf-deepseek-distill-qwen-32-large,direct,100.0,100.0,100.0,0.0
11,hf-deepseek-distill-qwen-32-large,mediation,87.5,66.66666666666666,100.0,6.89596605459213
12,hf-llama-31-8,confounder,59.25925925925925,50.0,66.66666666666666,6.749236320139559
13,hf-llama-31-8,direct,50.0,50.0,50.0,22.36067977499789
14,hf-llama-31-8,mediation,58.333333333333336,50.0,66.66666666666666,10.279899245732679
15,hf-llama-32-3,confounder,68.51851851851852,50.0,83.33333333333334,6.3796026254069895
16,hf-llama-32-3,direct,66.66666666666666,0.0,100.0,21.081851067789202
17,hf-llama-32-3,mediation,75.0,50.0,100.0,9.02893898143269
18,hf-mistral-7,confounder,68.51851851851852,58.333333333333336,83.33333333333334,6.3796026254069895
19,hf-mistral-7,direct,66.66666666666666,50.0,100.0,21.081851067789202
20,hf-mistral-7,mediation,50.0,33.33333333333333,66.66666666666666,10.42572070285374
21,hf-qwen-25-14,confounder,77.77777777777779,58.333333333333336,100.0,5.71062409722274
22,hf-qwen-25-14,direct,83.33333333333334,50.0,100.0,16.66666666666666
23,hf-qwen-25-14,mediation,83.33333333333334,66.66666666666666,100.0,7.770873402002609
24,hf-qwen-25-3,confounder,68.51851851851852,41.66666666666667,91.66666666666666,6.3796026254069895
25,hf-qwen-25-3,direct,33.33333333333333,0.0,50.0,21.081851067789202
26,hf-qwen-25-3,mediation,58.333333333333336,50.0,83.33333333333334,10.279899245732679
27,hf-qwen-25-32-large,confounder,88.88888888888889,66.66666666666666,100.0,4.31682605492117
28,hf-qwen-25-32-large,direct,100.0,100.0,100.0,0.0
29,hf-qwen-25-32-large,mediation,87.5,66.66666666666666,100.0,6.89596605459213
30,openai_gpt-4o,confounder,90.74074074074076,83.33333333333334,100.0,3.98154242392375
31,openai_gpt-4o,direct,100.0,100.0,100.0,0.0
32,openai_gpt-4o,mediation,87.5,66.66666666666666,100.0,6.89596605459213
33,openai_gpt-4o-mini,confounder,64.81481481481481,58.333333333333336,83.33333333333334,6.55962674674828
34,openai_gpt-4o-mini,direct,66.66666666666666,50.0,100.0,21.081851067789202
35,openai_gpt-4o-mini,mediation,58.333333333333336,50.0,83.33333333333334,10.279899245732679
